,0
0.1669283866101183,AURORA MUNICIPAL IL
0.34261209386620894,BELLEVILLE SCOTT AFB IL
0.18337031356469666,CENTRAL ILLINOIS RG IL
0.469120818887959,CAHOKIA/ST. LOUIS IL
0.5608395442036476,SOUTHERN ILLINOIS IL
0.15118165706187925,CHICAGO MIDWAY AP IL
0.1850848910726602,CHICAGO OHARE INTL AP IL
0.35620312987110125,DECATUR IL
0.1684785315928835,W. CHICAGO/DU PAGE IL
0.3912129757961509,MARION REGIONAL IL
0.19552208698561263,MOLINE QUAD CITY INTL AP IL
0.3262738106263011,MOUNT VERNON (AWOS) IL
0.20820498129705375,PEORIA GREATER PEORIA AP IL
0.33724854611867006,QUINCY MUNI BALDWIN FLD IL
0.1391383697704428,ROCKFORD GREATER ROCKFORD AP IL
0.2783369281833404,SPRINGFIELD CAPITAL AP IL
0.12123182831634505,STERLING ROCKFALLS IL
0.3399905821067959,UNIV OF ILLINOIS WI [BONDVILLE - SURFRAD] IL
0.23607662003059593,CHICAGO/WAUKEGAN IL
